https://www.CryptoDataDownload.com,,,,,,,,,
unix,date,symbol,open,high,low,close,Volume ADA,Volume USDT,tradecount
1568678400000,2019-09-17 0:00:00,ADA/USDT,0.04704,0.05072,0.04691,0.04887,182955220.7,8915970.08,27469
1568592000000,2019-09-16 0:00:00,ADA/USDT,0.04665,0.04749,0.04562,0.04702,71756317.4,3355866.258,11852
1568505600000,2019-09-15 0:00:00,ADA/USDT,0.04643,0.04711,0.0461,0.04664,43795942.5,2036857.805,8275
1568419200000,2019-09-14 0:00:00,ADA/USDT,0.0457,0.0471,0.04468,0.04642,82720178.8,3796960.29,13859
1568332800000,2019-09-13 0:00:00,ADA/USDT,0.04541,0.04594,0.04485,0.0457,37491930.4,1696491.487,8422
1568246400000,2019-09-12 0:00:00,ADA/USDT,0.04493,0.04629,0.04423,0.04541,72897245.1,3285193,12581
1568160000000,2019-09-11 0:00:00,ADA/USDT,0.04641,0.04713,0.04438,0.04487,85563306.7,3879236.74,15251
1568073600000,2019-09-10 0:00:00,ADA/USDT,0.04676,0.04814,0.04562,0.04646,102691657.8,4838040.544,16313
1567987200000,2019-09-09 0:00:00,ADA/USDT,0.04657,0.04727,0.04531,0.0468,86490759.5,4005016.775,14590
1567900800000,2019-09-08 0:00:00,ADA/USDT,0.04599,0.0475,0.0459,0.04657,85615820.1,4004305.445,15179
1567814400000,2019-09-07 0:00:00,ADA/USDT,0.04422,0.04659,0.04364,0.04597,83548291.8,3777701.477,12911
1567728000000,2019-09-06 0:00:00,ADA/USDT,0.04439,0.0447,0.0434,0.04423,98700688.4,4347753.429,15947
1567641600000,2019-09-05 0:00:00,ADA/USDT,0.04543,0.04543,0.04371,0.0444,57847202.8,2571227.134,11395
1567555200000,2019-09-04 0:00:00,ADA/USDT,0.04667,0.04668,0.04501,0.04543,58244960.7,2655263.844,12450
1567468800000,2019-09-03 0:00:00,ADA/USDT,0.04527,0.04744,0.04446,0.04667,120798363.4,5519286.651,19640
1567382400000,2019-09-02 0:00:00,ADA/USDT,0.04422,0.04626,0.04323,0.04531,74053948.5,3303673.442,13803
